Starting Index,Value @ Index + Window Size,Value @ Index + Window Size + 1,Forecasted Value,Trivial %Error,Forecast %Error
0,153025.0,158615.0,149528.86,3.52,5.73
1,158615.0,163519.0,157129.8,3.0,3.91
3,162964.0,164590.0,164584.59,0.99,0.0
4,164590.0,163989.0,166945.38,0.37,1.8
9,206174.0,145276.0,216962.31,41.92,49.34
10,145276.0,146332.0,142870.6,0.72,2.37
11,146332.0,173562.0,146690.65,15.69,15.48
12,173562.0,170795.0,171688.49,1.62,0.52
19,178642.0,184272.0,179732.76,3.06,2.46
21,221549.0,158004.0,231740.66,40.22,46.67
22,158004.0,155156.0,155647.92,1.84,0.32
23,155156.0,181910.0,154452.97,14.71,15.09
24,181910.0,176635.0,177515.71,2.99,0.5
25,176635.0,190269.0,172015.6,7.17,9.59
27,191609.0,182909.0,193966.56,4.76,6.05
33,227552.0,167372.0,237280.33,35.96,41.77
34,167372.0,173941.0,165279.71,3.78,4.98
35,173941.0,191851.0,176308.4,9.34,8.1
37,191886.0,205797.0,188348.6,6.76,8.48
40,197140.0,204270.0,198903.33,3.49,2.63
41,204270.0,189424.0,207706.54,7.84,9.65
44,203621.0,237478.0,204561.31,14.26,13.86
46,181073.0,178428.0,178859.33,1.48,0.24
47,178428.0,203750.0,178237.79,12.43,12.52
48,203750.0,199219.0,199606.61,2.27,0.19
51,205491.0,208856.0,206048.8,1.61,1.34
55,210145.0,207533.0,211996.63,1.26,2.15
57,249389.0,187445.0,259414.92,33.05,38.4
58,187445.0,183767.0,185204.34,2.0,0.78
59,183767.0,207973.0,182806.47,11.64,12.1
60,207973.0,212262.0,203527.42,2.02,4.12
61,212262.0,221155.0,209297.0,4.02,5.36
65,216605.0,208915.0,217641.61,3.68,4.18
69,265618.0,196810.0,277464.04,34.96,40.98
70,196810.0,199451.0,194133.35,1.32,2.67
71,199451.0,230230.0,200279.27,13.37,13.01
72,230230.0,227109.0,228496.87,1.37,0.61
75,236830.0,236992.0,240082.96,0.07,1.3
81,293013.0,213709.0,306647.59,37.11,43.49
82,213709.0,227087.0,210385.21,5.89,7.35
83,227087.0,253717.0,229641.29,10.5,9.49
84,253717.0,239051.0,251921.22,6.14,5.38
87,255066.0,244445.0,257213.32,4.34,5.22
93,294197.0,226791.0,302881.51,29.72,33.55
94,226791.0,223971.0,222560.01,1.26,0.63
95,223971.0,253439.0,224170.7,11.63,11.55
97,249062.0,268658.0,245751.92,7.29,8.53
105,298666.0,230546.0,307864.36,29.55,33.54
106,230546.0,228084.0,226450.24,1.08,0.72
107,228084.0,257133.0,226784.09,11.3,11.8
108,257133.0,257357.0,252014.97,0.09,2.08
112,266795.0,277716.0,270928.4,3.93,2.44
115,259945.0,263738.0,260519.97,1.44,1.22
116,263738.0,308821.0,260927.58,14.6,15.51
117,308821.0,242271.0,321039.22,27.47,32.51
118,242271.0,233478.0,240555.02,3.77,3.03
119,233478.0,264532.0,232242.43,11.74,12.21
120,264532.0,265990.0,259274.86,0.55,2.52
121,265990.0,281482.0,261802.76,5.5,6.99
124,279323.0,285212.0,284193.66,2.06,0.36
127,273781.0,272396.0,276907.45,0.51,1.66
129,327693.0,252818.0,339651.96,29.62,34.35
130,252818.0,253689.0,250179.51,0.34,1.38
131,253689.0,287944.0,254293.58,11.9,11.69
132,287944.0,284325.0,285976.04,1.27,0.58
133,284325.0,296253.0,280969.38,4.03,5.16
137,294133.0,282974.0,296327.5,3.94,4.72
141,354627.0,263469.0,369103.3,34.6,40.09
142,263469.0,265320.0,258642.92,0.7,2.52
143,265320.0,306384.0,264555.51,13.4,13.65
144,306384.0,302054.0,303393.69,1.43,0.44
145,302054.0,311292.0,299462.17,2.97,3.8
153,370726.0,286152.0,383543.56,29.56,34.03
154,286152.0,282417.0,282485.28,1.32,0.02
155,282417.0,326153.0,282976.94,13.41,13.24
156,326153.0,316526.0,321953.15,3.04,1.71
157,316526.0,337393.0,311583.48,6.18,7.65
162,310775.0,312976.0,310009.73,0.7,0.95
165,380188.0,295284.0,391111.89,28.75,32.45
166,295284.0,290065.0,290064.89,1.8,0.0
167,290065.0,335917.0,288783.5,13.65,14.03
168,335917.0,321981.0,331782.18,4.33,3.04
169,321981.0,353201.0,315718.85,8.84,10.61
175,331073.0,341848.0,332710.86,3.15,2.67
177,387473.0,307576.0,398190.05,25.98,29.46
178,307576.0,308171.0,302794.48,0.19,1.74
179,308171.0,334416.0,308624.31,7.85,7.71
181,331002.0,357277.0,323054.54,7.35,9.58
187,311422.0,299238.0,306484.33,4.07,2.42
189,346513.0,273998.0,347102.74,26.47,26.68
190,273998.0,264465.0,263041.81,3.6,0.54
191,264465.0,290068.0,256714.02,8.83,11.5
192,290068.0,292041.0,276794.82,0.68,5.22
193,292041.0,307481.0,281953.65,5.02,8.3
195,306050.0,308847.0,306315.43,0.91,0.82
198,288071.0,300360.0,290658.86,4.09,3.23
199,300360.0,303850.0,305387.86,1.15,0.51
201,362735.0,279044.0,379157.63,29.99,35.88
202,279044.0,275566.0,276870.47,1.26,0.47
203,275566.0,321305.0,275713.49,14.24,14.19
204,321305.0,316940.0,320594.55,1.38,1.15
207,319183.0,320915.0,320400.52,0.54,0.16
209,322319.0,307638.0,325162.07,4.77,5.7
213,386878.0,298626.0,402022.03,29.55,34.62
214,298626.0,299920.0,295492.53,0.43,1.48
215,299920.0,345052.0,301682.23,13.08,12.57
216,345052.0,339014.0,343806.83,1.78,1.41
217,339014.0,348979.0,336900.17,2.86,3.46
225,408910.0,315540.0,422156.16,29.59,33.79
226,315540.0,331470.0,311068.47,4.81,6.15
227,331470.0,368502.0,334787.45,10.05,9.15
228,368502.0,349194.0,366925.39,5.53,5.08
229,349194.0,373129.0,343857.86,6.41,7.84
237,416807.0,333792.0,428142.69,24.87,28.27
238,333792.0,332491.0,329812.6,0.39,0.81
239,332491.0,374153.0,333274.22,11.14,10.93
240,374153.0,362978.0,369452.43,3.08,1.78
241,362978.0,389694.0,359826.23,6.86,7.66
249,430336.0,340412.0,442477.67,26.42,29.98
250,340412.0,337329.0,335852.76,0.91,0.44
251,337329.0,383421.0,335218.4,12.02,12.57
252,383421.0,383809.0,378799.24,0.1,1.31
253,383809.0,408222.0,380794.18,5.98,6.72
259,388210.0,391317.0,390857.35,0.79,0.12
261,451203.0,350026.0,464773.12,28.91,32.78
262,350026.0,341415.0,343702.79,2.52,0.67
263,341415.0,392786.0,336179.98,13.08,14.41
264,392786.0,387261.0,384859.31,1.43,0.62
265,387261.0,409288.0,379648.62,5.38,7.24
269,404720.0,382001.0,408040.74,5.95,6.82
273,465394.0,352051.0,481677.94,32.2,36.82
274,352051.0,363761.0,345718.14,3.22,4.96
275,363761.0,405542.0,363844.54,10.3,10.28
277,395307.0,413617.0,387370.72,4.43,6.35
285,484041.0,369883.0,502124.84,30.86,35.75
286,369883.0,366697.0,364657.03,0.87,0.56
287,366697.0,424836.0,365703.69,13.69,13.92
288,424836.0,409718.0,419302.18,3.69,2.34
297,501921.0,391584.0,519069.16,28.18,32.56
298,391584.0,384117.0,386989.95,1.94,0.75
299,384117.0,449698.0,383264.57,14.58,14.77
300,449698.0,424946.0,445425.31,5.82,4.82
Averages, , , ,9.5,10.48
